>1
0, 836, 48
88, 1773, 47
239, 1731, 51
321, 893, 51
354, 900, 51
380, 902, 47
420, 905, 51
420, 935, 51
420, 959, 51
420, 978, 45
>2
0, 2411, 58
226, 254, 39
392, 282, 49
429, 285, 53
535, 300, 38
728, 2329, 43
1027, 352, 51
1103, 403, 48
1402, 426, 39
1478, 472, 51
1478, 2169, 72
>3
0, -747, 61
78, -736, 44
214, -718, 51
378, -693, 46
677, -647, 44
1124, -2007, 38
1200, -2017, 47
1200, -2062, 40
1200, -541, 43
>4
0, -4580, 61
78, -4593, 44
214, -3418, 51
378, -3379, 46
677, -3337, 44
1124, -4702, 38
1200, -3270, 47
1200, 6480, 40
>5
0, -206, 46
82, -2435, 47
184, -177, 48
236, -2463, 40
262, -2456, 40
627, -110, 60
661, -2520, 39
960, -72, 51
1036, -39, 41
1036, -2597, 45
1036, 3221, 69
>6
0, 4817, 37
82, 4827, 51
146, 6369, 68
297, 6326, 39
310, 6325, 73
379, 6316, 39
498, 4894, 48
797, 4906, 76
873, 6301, 36
873, 4943, 51
873, 5017, 53
1172, 6203, 49
1248, 6195, 85
1248, 6178, 39
1248, 6145, 58
>7
0, 3555, 48
88, 4468, 47
239, 4446, 51
321, 3596, 51
354, 3600, 51
380, 3603, 47
420, 3606, 51
719, 4389, 51
795, 4373, 51
795, 3676, 45
>8
0, -6607, 40
21, -6606, 51
38, -7085, 51
174, -7124, 51
517, -7113, 51
593, -6566, 40
593, -6503, 51
593, -7806, 57
593, 12358, 36
>9
0, 5099, 46
236, 6087, 40
262, 6079, 40
627, 5185, 60
660, 6010, 39
959, 5980, 51
1035, 5252, 41
1035, 5881, 69
